asus,Core i7-13620H,GeForce RTX 4050,16,15.6,73669000
asus,Core i5-1135G7,Iris Xe,8,14,46000000
asus,Core i7-1355U,Iris Xe,16,15.6,46798000
asus,Core i7-1355U,Iris Xe Graphics,16,15.6,44600000
Acer,Core i7-1255U,Iris Xe Graphics,8,15.6,34397000
asus,Core i7-13620H,GeForce RTX 4050,16,17.3,75199000
asus,Core i7-12700H,GeForce RTX 4050,16,16,72000000
Lenovo,AMD Ryzen 7 7730U,AMD Radeon RX Vega 8,8,15.6,29469000
Lenovo,Core i5-13420H,UHD Graphics Xe,8,15.6,31700000
Lenovo,Celeron N4500,UHD Graphics,16,15.6,20200000
MSI,Core i3-1215U,UHD Graphics,8,15.6,25690000
MSI,Core i7-14700HX,GeForce RTX 4070,16,16,124200000
asus,Core i3-1315U,UHD Graphics,4,15.6,24800000
Lenovo,Core i5-1235U,Iris Xe Graphics,8,15.6,29000000
Lenovo,Core i3-1315U,UHD Graphics,16,15.6,25750000
asus,Core i7-1255U,Iris Xe,16,15.6,40999000
Lenovo,Celeron N4500,UHD Graphics,16,15.6,17470000
Acer,Core i5-13420H,GeForce RTX 4050,8,15.6,54997000
Acer,Core i7-13620H,GeForce RTX 4060,16,15.6,68500000
asus,Celeron N4020,UHD Graphics 600,4,15.6,16000000
asus,Core i9-14900HX,GeForce RTX 4080,64,16,154498000
Dell,Core i5-1135G7,GeForce MX350,8,15.6,46300000
asus,Core i3-1215U,UHD Graphics,8,15.6,25200000
Acer,Core i7-13620H,GeForce RTX 4050,16,15.6,65000000
Lenovo,Core i5-1135G7,GeForce MX450,8,15.6,40400000
asus,Core i7-12700H,GeForce RTX 3050,32,15.6,71690000
HP,AMD Ryzen 5 8640HS,AMD Radeon 760M,16,14,62000000
Lenovo,AMD Athlon Silver 7120U,AMD Radeon 610M,8,15.6,18700000
Lenovo,Core i7-13700H,Iris Xe,32,16,58898000
Acer,Core i5-13420H,GeForce RTX 3050,32,15.6,53700000
Lenovo,Core Ultra 7 155H,Arc Graphics,16,16,59487000
Lenovo,Core i7-13650HX,GeForce RTX 4050,32,15.6,71598000
asus,Core i7-12700H,Iris Xe Graphics,40,15.6,44970000
HP,Core 7 150U,Iris Xe,16,14,63697000
HP,AMD Ryzen 5 7535HS,AMD Radeon RX 6550M,8,15.6,41100000
